{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.854, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.053, 'a_y': -0.033, 'a_x': -0.016, 'volt_b1': 3.456, 'pressure': 100468.231, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -102.0, 'time': 1486082294.188221, 'mag_y': 233.0, 'mag_x': 7690.0, 'gps_spd': 0.053, 'mag_z': -8291.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.854, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.061, 'a_y': -0.033, 'a_x': -0.014, 'volt_b1': 3.456, 'pressure': 100468.231, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -113.0, 'time': 1486082294.267281, 'mag_y': 226.0, 'mag_x': 7691.0, 'gps_spd': 0.053, 'mag_z': -8319.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.854, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.063, 'a_y': -0.032, 'a_x': -0.014, 'volt_b1': 3.584, 'pressure': 100468.231, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -137.0, 'time': 1486082294.346347, 'mag_y': 235.0, 'mag_x': 7704.0, 'gps_spd': 0.053, 'mag_z': -8308.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.854, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.052, 'a_y': -0.033, 'a_x': -0.015, 'volt_b1': 3.584, 'pressure': 100468.231, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -105.0, 'time': 1486082294.425502, 'mag_y': 209.0, 'mag_x': 7688.0, 'gps_spd': 0.053, 'mag_z': -8312.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.854, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.062, 'a_y': -0.032, 'a_x': -0.012, 'volt_b1': 3.584, 'pressure': 100468.231, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -108.0, 'time': 1486082294.504611, 'mag_y': 190.0, 'mag_x': 7641.0, 'gps_spd': 0.053, 'mag_z': -8350.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.854, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.051, 'a_y': -0.032, 'a_x': -0.012, 'volt_b1': 3.456, 'pressure': 100468.231, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -126.0, 'time': 1486082294.583692, 'mag_y': 176.0, 'mag_x': 7726.0, 'gps_spd': 0.053, 'mag_z': -8383.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.854, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.057, 'a_y': -0.033, 'a_x': -0.015, 'volt_b1': 3.584, 'pressure': 100468.231, 'volt_b2': 1.024, 'current_2': -6.0, 'current_1': -102.0, 'time': 1486082294.66286, 'mag_y': 239.0, 'mag_x': 7707.0, 'gps_spd': 0.053, 'mag_z': -8312.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.846, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.049, 'a_y': -0.051, 'a_x': -0.021, 'volt_b1': 3.584, 'pressure': 100467.889, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -117.0, 'time': 1486082294.741927, 'mag_y': 196.0, 'mag_x': 7684.0, 'gps_spd': 0.053, 'mag_z': -8317.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.846, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.037, 'a_y': -0.034, 'a_x': -0.015, 'volt_b1': 3.456, 'pressure': 100467.889, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -120.0, 'time': 1486082294.821024, 'mag_y': 218.0, 'mag_x': 7703.0, 'gps_spd': 0.053, 'mag_z': -8342.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.846, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.06, 'a_y': -0.026, 'a_x': -0.01, 'volt_b1': 3.584, 'pressure': 100467.889, 'volt_b2': 1.024, 'current_2': -4.0, 'current_1': -110.0, 'time': 1486082294.900209, 'mag_y': 258.0, 'mag_x': 7702.0, 'gps_spd': 0.053, 'mag_z': -8354.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.846, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.055, 'a_y': -0.023, 'a_x': -0.014, 'volt_b1': 3.456, 'pressure': 100467.889, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -123.0, 'time': 1486082294.979291, 'mag_y': 225.0, 'mag_x': 7696.0, 'gps_spd': 0.053, 'mag_z': -8306.0}
